C,1,Contest1,0.0309,0.2777,0.3208,0.4807,1,1700,3400
C,2,Contest2,0.032,0.4837,0.3208,0.6128,1,1700,3400
C,3,Contest3,0.032,0.6178,0.3219,0.8485,1,1700,3400
C,4,Contest4,0.3252,0.2139,0.6437,0.3468,1,1700,3400
C,5,Contest5,0.3252,0.3523,0.6426,0.4505,1,1700,3400
C,6,Contest6,0.3241,0.4529,0.6459,0.5377,1,1700,3400
C,7,Contest7,0.3219,0.5628,0.6459,0.6266,1,1700,3400
C,8,Contest8,0.323,0.7137,0.6437,0.7741,1,1700,3400
C,9,Contest9,0.3241,0.7783,0.6448,0.8336,1,1700,3400
C,10,Contest10,0.3252,0.8362,0.6437,0.8897,1,1700,3400
C,11,Contest11,0.6481,0.2121,0.9689,0.2737,1,1700,3400
C,12,Contest12,0.6492,0.2788,0.9711,0.3473,1,1700,3400
C,13,Contest13,0.6459,0.3512,0.9689,0.421,1,1700,3400
C,14,Contest14,0.6492,0.448,0.9689,0.5241,1,1700,3400
C,15,Contest15,0.6481,0.5267,0.9689,0.5976,1,1700,3400
C,16,Contest16,0.647,0.6316,0.9689,0.6866,1,1700,3400
C,17,Contest17,0.647,0.6885,0.97,0.745,1,1700,3400
C,18,Contest18,0.6481,0.7495,0.97,0.8027,1,1700,3400
C,19,Contest19,0.647,0.8059,0.9689,0.8608,1,1700,3400
C,20,Contest20,0.0287,0.109,0.2623,0.3041,2,1700,3400
C,21,Contest21,0.0298,0.3059,0.2601,0.4795,2,1700,3400
C,22,Contest22,0.0298,0.4837,0.2623,0.6711,2,1700,3400
C,23,Contest23,0.0298,0.7041,0.2612,0.9057,2,1700,3400
C,24,Contest24,0.2657,0.0687,0.4982,0.2602,2,1700,3400
C,27,Contest27,0.2657,0.7337,0.4883,0.8444,2,1700,3400
C,28,Contest28,0.5015,0.0979,0.7297,0.214,2,1700,3400
C,29,Contest29,0.4993,0.2189,0.7264,0.3301,2,1700,3400
C,30,Contest30,0.5026,0.3379,0.7275,0.4626,2,1700,3400
C,31,Contest31,0.5015,0.4686,0.7297,0.6105,2,1700,3400
C,32,Contest32,0.4993,0.6574,0.733,0.787,2,1700,3400
